LookUp_BoroughName,Possession of Weapons,Drug Offences,Occupation,Population
Barking and Dagenham,171,1622,94589,"218,534"
Barnet,153,1117,186175,"388,639"
Bexley,191,925,117983,"246,543"
Brent,220,2007,160997,"338,918"
Bromley,150,1149,162122,"329,830"
Camden,89,1393,102513,"210,390"
Croydon,329,2317,189407,"390,506"
Ealing,186,1684,175025,"366,127"
Enfield,203,1199,143864,"329,601"
Greenwich,268,1755,142934,"289,254"
Hackney,261,1629,134312,"259,956"
Hammersmith and Fulham,133,1090,98096,"183,295"
Haringey,195,1180,134383,"264,130"
Harrow,93,959,125040,"260,987"
Havering,138,976,124781,"262,022"
Hillingdon,171,1531,142803,"304,792"
Hounslow,155,1342,138800,"287,940"
Islington,212,1199,114972,"216,767"
Kensington and Chelsea,117,1120,69441,"143,940"
Kingston upon Thames,202,986,84148,"167,845"
Lambeth,395,2318,182819,"317,498"
Lewisham,177,1533,155713,"299,810"
Merton,103,658,112065,"215,324"
Newham,279,2300,163445,"350,626"
Redbridge,163,1365,141627,"309,836"
Richmond upon Thames,55,409,97566,"195,232"
Southwark,308,2308,166947,"306,374"
Sutton,92,615,104222,"209,517"
Tower Hamlets,246,2659,155392,"312,273"
Waltham Forest,186,1497,140372,"278,050"
Wandsworth,162,1113,190442,"328,367"
Westminster,330,2982,101742,"205,087"
