Lower tier local authorities Code,Lower tier local authorities,Household is deprived in four dimensions,Total
E09000001,City of London,8,1793
E09000002,Barking and Dagenham,287,1270
E09000003,Barnet,668,1116
E09000004,Bexley,206,2227
E09000005,Brent,591,1299
E09000006,Bromley,228,1482
E09000007,Camden,603,2646
E09000008,Croydon,552,1870
E09000009,Ealing,518,1402
E09000010,Enfield,566,2023
E09000011,Greenwich,428,1890
E09000012,Hackney,605,1223
E09000013,Hammersmith and Fulham,379,1375
E09000014,Haringey,607,1052
E09000015,Harrow,233,1114
E09000016,Havering,212,1702
E09000017,Hillingdon,327,1497
E09000018,Hounslow,420,1411
E09000019,Islington,450,1237
E09000020,Kensington and Chelsea,426,1188
E09000021,Kingston upon Thames,116,2713
E09000022,Lambeth,473,1710
E09000023,Lewisham,536,43
E09000024,Merton,168,761
E09000025,Newham,501,2579
E09000026,Redbridge,277,1528
E09000027,Richmond upon Thames,130,464
E09000028,Southwark,410,2616
E09000029,Sutton,187,707
E09000030,Tower Hamlets,527,2905
E09000031,Waltham Forest,380,1683
E09000032,Wandsworth,396,1275
E09000033,Westminster,683,3312
