Lower Tier Local Authorities,Employment history (4 categories),Observation
Barking and Dagenham,Never worked,28236
Barnet,Never worked,41107
Bexley,Never worked,20228
Brent,Never worked,47370
Bromley,Never worked,23070
Camden,Never worked,27328
Croydon,Never worked,38272
Ealing,Never worked,46928
Enfield,Never worked,43133
Greenwich,Never worked,29664
Hackney,Never worked,31596
Hammersmith and Fulham,Never worked,18650
Haringey,Never worked,30349
Harrow,Never worked,30623
Havering,Never worked,22008
Hillingdon,Never worked,34418
Hounslow,Never worked,32974
Islington,Never worked,24162
Kensington and Chelsea,Never worked,18619
Lambeth,Never worked,29047
Lewisham,Never worked,28635
Merton,Never worked,18123
Newham,Never worked,54952
Redbridge,Never worked,40547
Richmond upon Thames,Never worked,12608
Southwark,Never worked,31262
Sutton,Never worked,16487
Tower Hamlets,Never worked,46215
Waltham Forest,Never worked,30614
Wandsworth,Never worked,24998
Westminster,Never worked,30007
