Borough,Year,Rate_of_Crime
Barking and Dagenham,31/12/1999,120.4538179
Barking and Dagenham,31/12/2000,123.5745273
Barking and Dagenham,31/12/2001,123.9813104
Barking and Dagenham,31/12/2002,122.5917755
Barking and Dagenham,31/12/2003,133.2290476
Barking and Dagenham,31/12/2004,129.4728579
Barking and Dagenham,31/12/2005,132.6838069
Barking and Dagenham,31/12/2006,127.9276369
Barking and Dagenham,31/12/2007,115.5764327
Barking and Dagenham,31/12/2008,115.8989168
Barking and Dagenham,31/12/2009,111.7411871
Barking and Dagenham,31/12/2010,104.8851989
Barking and Dagenham,31/12/2011,100.6528399
Barking and Dagenham,31/12/2012,90.47019312
Barking and Dagenham,31/12/2013,82.85996542
Barking and Dagenham,31/12/2014,81.87337993
Barking and Dagenham,31/12/2015,86.52879755
Barking and Dagenham,31/12/2016,70.89993219
Barnet,31/12/1999,97.96183993
Barnet,31/12/2000,95.67615839
Barnet,31/12/2001,101.020092
Barnet,31/12/2002,107.1214655
Barnet,31/12/2003,112.7649921
Barnet,31/12/2004,117.0352431
Barnet,31/12/2005,106.4630077
Barnet,31/12/2006,90.44712682
Barnet,31/12/2007,79.57603252
Barnet,31/12/2008,77.75078712
Barnet,31/12/2009,75.97107241
Barnet,31/12/2010,73.13096478
Barnet,31/12/2011,73.50547354
Barnet,31/12/2012,69.68974272
Barnet,31/12/2013,61.56797295
Barnet,31/12/2014,61.85935479
Barnet,31/12/2015,65.7850726
Barnet,31/12/2016,55.81442332
Bexley,31/12/1999,95.09882368
Bexley,31/12/2000,96.34367699
Bexley,31/12/2001,96.91118456
Bexley,31/12/2002,90.1411536
Bexley,31/12/2003,92.46600247
Bexley,31/12/2004,85.3669025
Bexley,31/12/2005,89.98115931
Bexley,31/12/2006,76.12414905
Bexley,31/12/2007,74.84028937
Bexley,31/12/2008,71.34726365
Bexley,31/12/2009,67.72417662
Bexley,31/12/2010,59.55069329
Bexley,31/12/2011,52.27387939
Bexley,31/12/2012,52.65269709
Bexley,31/12/2013,50.01119622
Bexley,31/12/2014,51.19546412
Bexley,31/12/2015,52.21729398
Bexley,31/12/2016,45.60794247
Brent,31/12/1999,127.7404088
Brent,31/12/2000,122.7160354
Brent,31/12/2001,123.4181441
Brent,31/12/2002,124.2704848
Brent,31/12/2003,133.5591805
Brent,31/12/2004,132.6029031
Brent,31/12/2005,129.6970905
Brent,31/12/2006,110.2117872
Brent,31/12/2007,99.28937809
Brent,31/12/2008,93.54728928
Brent,31/12/2009,97.43121851
Brent,31/12/2010,96.76329216
Brent,31/12/2011,101.1769604
Brent,31/12/2012,86.63319138
Brent,31/12/2013,77.14710777
Brent,31/12/2014,78.25428199
Brent,31/12/2015,80.63898868
Brent,31/12/2016,70.78969335
Bromley,31/12/1999,89.77219551
Bromley,31/12/2000,88.5218257
Bromley,31/12/2001,96.67879737
Bromley,31/12/2002,102.0534739
Bromley,31/12/2003,104.0124069
Bromley,31/12/2004,103.4654414
Bromley,31/12/2005,102.841818
Bromley,31/12/2006,94.44350302
Bromley,31/12/2007,83.25485337
Bromley,31/12/2008,86.4025078
Bromley,31/12/2009,77.48172186
Bromley,31/12/2010,71.39940368
Bromley,31/12/2011,70.52879692
Bromley,31/12/2012,64.4766842
Bromley,31/12/2013,61.16722607
Bromley,31/12/2014,63.60223856
Bromley,31/12/2015,65.06555192
Bromley,31/12/2016,52.7487924
Camden,31/12/1999,241.0488255
Camden,31/12/2000,238.4515787
Camden,31/12/2001,262.1503009
Camden,31/12/2002,264.2029298
Camden,31/12/2003,249.7674464
Camden,31/12/2004,219.1172995
Camden,31/12/2005,200.0871674
Camden,31/12/2006,201.083248
Camden,31/12/2007,167.3506051
Camden,31/12/2008,162.5268104
Camden,31/12/2009,158.6152806
Camden,31/12/2010,159.2967749
Camden,31/12/2011,162.6584033
Camden,31/12/2012,145.98021
Camden,31/12/2013,124.7001772
Camden,31/12/2014,121.0495388
Camden,31/12/2015,125.2183076
Camden,31/12/2016,103.1354979
Croydon,31/12/1999,113.6611397
Croydon,31/12/2000,105.376061
Croydon,31/12/2001,111.7536824
Croydon,31/12/2002,115.134982
Croydon,31/12/2003,110.2736076
Croydon,31/12/2004,103.8281514
Croydon,31/12/2005,102.8131378
Croydon,31/12/2006,92.55424454
Croydon,31/12/2007,88.90820251
Croydon,31/12/2008,93.86844848
Croydon,31/12/2009,94.14252629
Croydon,31/12/2010,90.21346497
Croydon,31/12/2011,89.84005592
Croydon,31/12/2012,84.33228694
Croydon,31/12/2013,75.65888312
Croydon,31/12/2014,76.59823423
Croydon,31/12/2015,76.38161522
Croydon,31/12/2016,67.42539968
Ealing,31/12/1999,128.1612694
Ealing,31/12/2000,126.7273384
Ealing,31/12/2001,127.3382887
Ealing,31/12/2002,129.823892
Ealing,31/12/2003,123.0964467
Ealing,31/12/2004,117.4497618
Ealing,31/12/2005,119.2394508
Ealing,31/12/2006,116.4942013
Ealing,31/12/2007,106.5770026
Ealing,31/12/2008,101.0641253
Ealing,31/12/2009,101.9923265
Ealing,31/12/2010,104.8573216
Ealing,31/12/2011,96.00252274
Ealing,31/12/2012,88.0703083
Ealing,31/12/2013,75.58088609
Ealing,31/12/2014,75.82471545
Ealing,31/12/2015,78.79694163
Ealing,31/12/2016,69.01012832
Enfield,31/12/1999,104.8212341
Enfield,31/12/2000,101.862085
Enfield,31/12/2001,106.0389662
Enfield,31/12/2002,107.0081391
Enfield,31/12/2003,106.4381642
Enfield,31/12/2004,99.6786161
Enfield,31/12/2005,96.4712988
Enfield,31/12/2006,94.13803061
Enfield,31/12/2007,86.69657741
Enfield,31/12/2008,82.47966837
Enfield,31/12/2009,80.99784416
Enfield,31/12/2010,76.89632307
Enfield,31/12/2011,73.03422683
Enfield,31/12/2012,70.97990148
Enfield,31/12/2013,70.60625725
Enfield,31/12/2014,68.73008929
Enfield,31/12/2015,69.85290759
Enfield,31/12/2016,58.54343005
Greenwich,31/12/1999,141.354964
Greenwich,31/12/2000,131.3433253
Greenwich,31/12/2001,133.3348662
